language,enjoyment,assess,age,gender,education,problems,fairprice,start_time,time_taken,phaseseed,own_stance,anon_workerid,own_stance_index
english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",0,2.58
english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",1,2.91
english,2,Yes,38,Male,1,Not that I encountered,2.00,1591147133432,7.0824,1,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 1}, {'trial_type': 'own_stance', 'response': 0.04}, {'trial_type': 'own_stance', 'response': 1}]",2,2.87
english,2,Yes,33,Male,0,"no, everything seemed ok.",2.00,1591147108127,7.9605,0,"[{'trial_type': 'own_stance', 'response': 0.89}, {'trial_type': 'own_stance', 'response': 0.95}, {'trial_type': 'own_stance', 'response': 0.1}, {'trial_type': 'own_stance', 'response': 0.97}]",3,2.71
english,0,Yes,26,Female,2,"Once a conclusion is made, scientists report their results in either",2,1591147979372,4.037533333333333,0,"[{'trial_type': 'own_stance', 'response': 0.51}, {'trial_type': 'own_stance', 'response': 0.19}, {'trial_type': 'own_stance', 'response': 0.25}, {'trial_type': 'own_stance', 'response': 0.29}]",5,0.74
english,2,Yes,24,Female,4,no,3.00,1591148005058,5.2591,0,"[{'trial_type': 'own_stance', 'response': 1}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.93}]",6,2.87
english,2,Yes,36,Male,3,No problems.,2.00,1591148197740,5.95715,1,"[{'trial_type': 'own_stance', 'response': 0.95}, {'trial_type': 'own_stance', 'response': 1}, {'trial_type': 'own_stance', 'response': 0}, {'trial_type': 'own_stance', 'response': 0.93}]",7,2.88
english,2,Yes,36,Male,3,no,2 dollars,1591148626321,7.821416666666667,0,"[{'trial_type': 'own_stance', 'response': 0.95}, {'trial_type': 'own_stance', 'response': 0.94}, {'trial_type': 'own_stance', 'response': 0.31}, {'trial_type': 'own_stance', 'response': 0.98}]",8,2.56
english,2,Yes,36,Male,2,i ran into no problems,2.00,1591146512668,5.4795,0,"[{'trial_type': 'own_stance', 'response': 0.8}, {'trial_type': 'own_stance', 'response': 0.94}, {'trial_type': 'own_stance', 'response': 0.49}, {'trial_type': 'own_stance', 'response': 0.93}]",9,2.18
english,2,Yes,22,Male,3,no issues,2,1591146662180,4.1219,1,"[{'trial_type': 'own_stance', 'response': 0.65}, {'trial_type': 'own_stance', 'response': 0.32}, {'trial_type': 'own_stance', 'response': 0.67}, {'trial_type': 'own_stance', 'response': 0.82}]",10,1.12
