response,trial_type,stim,workerid,subj,verb,verb_cat,cc,cc_float,language,enjoyment,assess,age,gender,education,problems,fairprice,start_time,time_taken,phaseseed,own_stance,own_stance_index,verb_cat_float,subj_float
0.92,one_slider,"{'subject': 'Scientists', 'verb': 'insist', 'comp': 'the benefits of getting vaccinated far outweigh the risks'}",0,Scientists,insist,neg,the benefits of getting vaccinated far outweigh the risks,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,-1,1
0.87,one_slider,"{'subject': 'Scientists', 'verb': 'suspect', 'comp': 'children should be required to get vaccinated'}",0,Scientists,suspect,pos,children should be required to get vaccinated,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,1,1
0.95,one_slider,"{'subject': 'Researchers', 'verb': 'say', 'comp': 'vaccines have saved countless lives'}",0,Researchers,say,neut,vaccines have saved countless lives,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,0,2
1,one_slider,"{'subject': 'Scientists', 'verb': 'think', 'comp': 'without the vaccine, the epidemic would have been far more widespread'}",0,Scientists,think,neut,without the vaccine,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,0,1
0.8,one_slider,"{'subject': 'Scientists', 'verb': 'insist', 'comp': 'the study linking vaccines to autism has been debunked'}",0,Scientists,insist,neg,the study linking vaccines to autism has been debunked,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,-1,1
0.75,one_slider,"{'subject': 'Scientists', 'verb': 'claim', 'comp': 'many children have shown adverse reactions to vaccines'}",0,Scientists,claim,neg,many children have shown adverse reactions to vaccines,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,-1,1
0.96,one_slider,"{'subject': 'Doctors', 'verb': 'claim', 'comp': 'many diseases can be contained with vaccines'}",0,Doctors,claim,neg,many diseases can be contained with vaccines,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,-1,3
0.89,one_slider,"{'subject': 'Scientists', 'verb': 'suspect', 'comp': 'we need to be more aware of the risks posed by vaccines'}",0,Scientists,suspect,pos,we need to be more aware of the risks posed by vaccines,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,1,1
0.92,one_slider,"{'subject': 'Doctors', 'verb': 'show', 'comp': 'vaccinating children is a crucial measure for public health'}",0,Doctors,show,pos,vaccinating children is a crucial measure for public health,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,1,3
0.84,one_slider,"{'subject': 'Researchers', 'verb': 'argue', 'comp': 'vaccines are not as safe as many people imagine'}",0,Researchers,argue,neg,vaccines are not as safe as many people imagine,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,-1,2
0.93,one_slider,"{'subject': 'Researchers', 'verb': 'argue', 'comp': 'vaccines do not cause autism'}",0,Researchers,argue,neg,vaccines do not cause autism,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,-1,2
0.89,one_slider,"{'subject': 'Doctors', 'verb': 'find', 'comp': 'thimerosol, an active ingredient in the measles vaccine, can cause seizures'}",0,Doctors,find,pos,thimerosol,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,1,3
0.97,one_slider,"{'subject': 'Scientists', 'verb': 'suspect', 'comp': 'vaccines are effective at preventing diseases like measles'}",0,Scientists,suspect,pos,vaccines are effective at preventing diseases like measles,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,1,1
0.93,one_slider,"{'subject': 'Scientists', 'verb': 'show', 'comp': 'vaccines do not guarantee immunity'}",0,Scientists,show,pos,vaccines do not guarantee immunity,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,1,1
0.89,one_slider,"{'subject': 'Scientists', 'verb': 'show', 'comp': 'vaccines were responsible for some cases of autism in children'}",0,Scientists,show,pos,vaccines were responsible for some cases of autism in children,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,1,1
0.95,one_slider,"{'subject': 'Scientists', 'verb': 'claim', 'comp': 'the absolute safety of vaccines is a misconception'}",0,Scientists,claim,neg,the absolute safety of vaccines is a misconception,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,-1,1
0.93,one_slider,"{'subject': 'Doctors', 'verb': 'insist', 'comp': 'the link between vaccines and autism is unfounded'}",0,Doctors,insist,neg,the link between vaccines and autism is unfounded,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,-1,3
0.88,one_slider,"{'subject': 'Doctors', 'verb': 'think', 'comp': 'the campaign to get children vaccinated is driven in large part by drug companies'}",0,Doctors,think,neut,the campaign to get children vaccinated is driven in large part by drug companies,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,0,3
0.94,one_slider,"{'subject': 'Doctors', 'verb': 'point out', 'comp': 'the vaccine-autism link is entirely a myth'}",0,Doctors,point out,pos,the vaccine-autism link is entirely a myth,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,1,3
1,one_slider,"{'subject': 'Doctors', 'verb': 'point out', 'comp': 'we have basically eradicated measles, thanks to vaccines'}",0,Doctors,point out,pos,we have basically eradicated measles,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,1,3
0.97,one_slider,"{'subject': 'Researchers', 'verb': 'think', 'comp': 'vaccine benefits are exaggerated and vaccine risks are downplayed by pharmaceutical companies'}",0,Researchers,think,neut,vaccine benefits are exaggerated and vaccine risks are downplayed by pharmaceutical companies,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,0,2
0.96,one_slider,"{'subject': 'Doctors', 'verb': 'find', 'comp': 'vaccines are a safe and effective way to save lives'}",0,Doctors,find,pos,vaccines are a safe and effective way to save lives,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,1,3
0.94,one_slider,"{'subject': 'Doctors', 'verb': 'say', 'comp': 'there is no link between vaccines and autism'}",0,Doctors,say,neut,there is no link between vaccines and autism,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,0,3
0.94,one_slider,"{'subject': 'Doctors', 'verb': 'find', 'comp': 'concerns over vaccine injuries are generally unfounded'}",0,Doctors,find,pos,concerns over vaccine injuries are generally unfounded,1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,1,3
